K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 854231  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
…11월,"18,399,596",11,"4,818,421",-3.5,"17,578,085",18.3,"3,058,144",2.4
…12월,"19,887,734",7.4,"5,217,264",-4.8,"18,938,170",15.4,"3,286,461",-0.3
2014년,"18,514,978",-10.6,"5,481,997",-5.4,"16,416,708",10.5,"3,297,527",0.6
…1월,"1,401,613",-22.3,"411,248",-13.6,"1,224,186",-5,"249,535",-5.7
…2월,"2,715,775",-20.7,"820,536",-11.9,"2,314,657",-0.4,"482,391",-4.8
…3월,"4,160,565",-18.5,"1,274,603",-11,"3,474,353",-3.3,"735,120",-6.5
…4월,"5,513,326",-14.8,"1,740,706",-9.7,"4,726,841",-3.4,"997,979",-7.1
…5월,"6,847,714",-16,"2,191,127",-9.6,"5,896,719",-6.1,"1,244,643",-9.2
…6월,"8,252,953",-13.1,"2,663,137",-7.4,"7,159,988",-3.3,"1,502,343",-8.7
…7월,"9,417,256",-14.9,"3,120,679",-6.7,"8,585,764",-0.3,"1,777,615",-8.7
…8월,"10,781,004",-16.3,"3,578,050",-6.7,"10,081,881",3.4,"2,065,081",-6.6
…9월,"12,645,815",-15.6,"4,060,563",-6.1,"11,675,619",5.3,"2,374,312",-4.9
…10월,"14,704,223",-13.6,"4,553,759",-5.3,"13,328,517",6.7,"2,698,618",-2.7
…11월,"16,574,466",-12.3,"4,995,365",-5.6,"14,857,107",8.5,"2,986,650",-1.5
…12월,"18,514,978",-10.6,"5,481,997",-5.4,"16,416,708",10.5,"3,297,527",0.6
2013년,"20,702,546",-2.5,"5,793,063",-11.7,"14,858,441",3.1,"3,277,079",-12.8
…1월,"1,803,313",10.6,"475,782",-10,"1,288,878",8.1,"264,628",-21.2
…2월,"3,424,696",7,"931,781",-13.6,"2,323,200",-0.4,"506,948",-23.3
…3월,"5,105,065",2.8,"1,431,827",-14.3,"3,591,985",1.2,"786,451",-22.3
…4월,"6,474,056",0,"1,927,691",-13.3,"4,892,499",5,"1,074,570",-19.1
…5월,"8,155,092",0.5,"2,422,883",-13.4,"6,278,905",7.9,"1,370,327",-16.9
…6월,"9,499,120",-1.8,"2,874,666",-15.2,"7,404,906",5.7,"1,646,355",-16.1
…7월,"11,066,807",-2.1,"3,344,696",-15.7,"8,610,313",5.5,"1,946,380",-15
…8월,"12,872,990",-0.7,"3,833,704",-15.1,"9,747,712",4.3,"2,210,609",-15.1
…9월,"14,991,030",0.5,"4,325,450",-14.4,"11,086,270",5.2,"2,497,802",-14.1
…10월,"17,019,992",-0.5,"4,807,854",-13.5,"12,494,926",4.6,"2,774,749",-13.6
…11월,"18,905,929",-2.1,"5,294,382",-13,"13,698,162",3.6,"3,030,778",-13.3
…12월,"20,702,546",-2.5,"5,793,063",-11.7,"14,858,441",3.1,"3,277,079",-12.8
2012년,"21,228,826",19.1,"6,560,221",-9.1,"14,406,130",6.3,"3,759,127",-13
…1월,"1,631,122",31.7,"528,678",-9.7,"1,191,942",11.6,"335,894",-16.4
…2월,"3,199,986",36.4,"1,077,949",-3.2,"2,331,944",15.3,"661,000",-8
…3월,"4,963,784",33.8,"1,670,137",-4.5,"3,547,832",13.3,"1,011,679",-8.6
…4월,"6,473,177",31.3,"2,224,385",-5.9,"4,658,799",11.5,"1,328,246",-9.4
…5월,"8,116,407",31.1,"2,798,296",-6.1,"5,820,067",11,"1,648,879",-10.8
…6월,"9,675,028",28.1,"3,388,847",-5.6,"7,004,887",10.9,"1,961,268",-11.1
…7월,"11,304,817",25.8,"3,969,271",-6,"8,159,750",7.7,"2,290,210",-10.6
…8월,"12,964,822",22.6,"4,517,133",-7.5,"9,341,783",7.2,"2,602,729",-10.9
…9월,"14,914,629",19.4,"5,050,747",-8.6,"10,541,785",6.2,"2,908,508",-11.3
…10월,"17,103,832",19.8,"5,559,835",-8.7,"11,948,503",7,"3,210,691",-11.7
…11월,"19,304,346",21.2,"6,086,830",-8.6,"13,225,423",7,"3,496,041",-12.3
…12월,"21,228,826",19.1,"6,560,221",-9.1,"14,406,130",6.3,"3,759,127",-13
2011년,"17,829,204",22.6,"7,220,152",-9.2,"13,556,908",5.7,"4,320,018",-11.6
…1월,"1,238,620",38.8,"585,531",9.9,"1,067,873",13.3,"401,984",0.9
…2월,"2,345,683",28.6,"1,113,053",5.2,"2,022,441",14.4,"718,187",-5.9
