K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 271019  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
…1월,"1,075,826",-48.1,"3,483,871,907",-13.8,"189,290",-39.8,"812,291,706",7.6
…2월,"2,210,504",-39.7,"6,957,134,324",1.5,"392,825",-33.4,"1,746,293,551",27.9
…3월,"3,534,990",-40.9,"10,521,571,624",-5,"645,513",-31.9,"2,857,305,130",26.1
…4월,"5,209,856",-33.1,"14,818,245,276",3.9,"843,855",-28.5,"3,606,866,468",30.1
…5월,"6,775,430",-31.2,"18,385,668,721",4.1,"1,056,067",-26.2,"4,296,330,516",29.7
…6월,"8,396,208",-30.4,"21,831,563,540",1.6,"1,291,265",-20.9,"5,057,720,304",35.8
…7월,"10,337,096",-27.3,"26,246,201,914",2.2,"1,568,132",-15.2,"5,970,284,126",41.2
…8월,"11,893,986",-26.4,"29,840,941,059",-0.4,"1,797,076",-14.3,"6,674,006,587",35
…9월,"13,624,662",-24.6,"33,780,311,529",-0.9,"2,019,828",-15.9,"7,377,317,596",23.8
…10월,"15,335,705",-21.9,"37,416,980,500",0,"2,194,607",-20,"7,853,931,809",11.3
…11월,"17,107,709",-19.4,"41,270,142,606",0.6,"2,452,604",-19.7,"8,598,949,619",5.6
…12월,"18,980,527",-16.5,"45,120,623,113",0.7,"2,666,040",-20,"9,136,446,330",-0.1
2015년,"22,742,127",-39.5,"44,820,251,269",3.4,"3,330,597",-57,"9,143,467,298",-19.6
…1월,"2,074,662",-40.9,"4,041,270,845",7.7,"314,256",-63.3,"755,182,630",-38.6
…2월,"3,668,641",-42.3,"6,855,982,258",1.6,"589,483",-61.4,"1,365,771,778",-36.9
…3월,"5,979,261",-38.6,"11,074,092,651",6.7,"948,333",-57.3,"2,266,188,667",-27.9
…4월,"7,792,826",-40.1,"14,260,163,455",2.6,"1,179,569",-60,"2,772,027,225",-33.6
